FID,FID_,county,route_id,route_name,segment_id,segmt_name,steward_id,stew_unit,stew_type,segmt_type,route_type,foot,bicycle,horse,wheelchair,motor_vehi,etc_app,stew_name,length_f_1,length_m,GlobalID,CreationDa,Creator,EditDate,Editor,SHAPE_Length
924,0,Monterey,montt24,Julia Pfieffer Burns State Park Trails,mont249,McWay Falls Trail - Environmental Camp access,ca2,Julia Pfeiffer Burns State Park,State Parks,Other Trail,Trail,yes,no,no,no,no,yes,California State Parks,236,72,2486ed68-3c23-4c52-bf3e-d66b16c7f222,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,71.895246112477
925,0,Monterey,montt72,Moss Landing State Beach,mont721,to Moss Landing State Beach - N end of North Spit,ca2,Moss Landing State Beach,State Parks,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,California State Parks,716,218,78b3df9c-a019-457f-a356-a46da6fe7a97,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,218.122950712952
926,0,Monterey,montt72,Moss Landing State Beach,mont723,to Moss Landing State Beach - S end of North Spit,ca2,Moss Landing State Beach,State Parks,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,California State Parks,444,135,9af66504-eea7-4aaf-a8f3-17a24cf941c5,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,135.230969985696
927,0,Monterey, , , ,Salinas River State Beach,ca2,Salinas River State Beach,State Parks,Primary CCT - Needs Improvement,Road shoulder,yes,yes,no,no,yes,no,California State Parks,695,212,bf4c454f-8ce4-4a84-876b-3b5a0bc15f79,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,211.90915941917
928,0,Monterey, , , ,to Moss Landing Beach - boardwalk from Sandholdt Road,Private,Moss Landing Power Plant,Private,Beach or Shoreline Access CCT,Boardwalk,yes,no,no,yes,no,no,Private,411,125,4af671bf-435e-485f-8cc2-9f00b6eead17,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,125.139908179441
929,0,Monterey, , , ,to Moss Landing Beach - at MBARI / Phil's Fish Market,Private,Monterey Bay Aquarium Research Institute (MBARI),Private,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,Private,490,149,0ce5b79e-61ba-48a3-a8ec-6d872607cd76,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,149.345594826768
930,0,Monterey,montt72,Moss Landing Beach,mont724,to Moss Landing Beach - N end of South Spit,monts6,Moss Landing Harbor District,Special District,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,Moss Landing Harbor District,395,120,ba7aa768-efad-44c4-8719-3ea72e7a6090,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,120.325327711767
931,0,Monterey,montt27,Protero Road to Monterey Dunes Way,mont270,to Salinas River State Beach,ca2,Salinas River State Beach,State Parks,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,California State Parks,419,128,7c037c49-fd2c-45ed-a81a-dab60a7aa172,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,127.729102148832
932,0,Monterey,montt31,Point Lobos State Park,mont383,from Hwy 1 to Point Lobos Trails,ca2,Point Lobos State Park,State Parks,Other Trail,Trail,yes,no,no,no,no,yes,California State Parks,639,195,09a6fdeb-f9b7-485b-a4f8-bb226a771480,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,194.889293269309
933,0,Monterey,montt71,Pfeiffer Beach,mont712,to Pfeiffer Beach,usfs1,Los Padres National Forest,US Forest Service,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,U.S. Forest Service,619,189,202521bc-69c8-44b9-b863-5d4857137d2a,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,188.539813835541
934,0,Monterey,montt22,Andrew Molera State Park,mont431,Andrew Molera State Park - Creamery Meadows Trail,ca2,Andrew Molera State Park,State Parks,Other Trail,Trail,yes,no,no,no,no,yes,California State Parks,1040,317,b887f4d6-19c1-4396-a712-556648d0c5ef,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,317.115376122818
935,0,Monterey,montt22,Andrew Molera State Park,mont204,to Andrew Molera State Beach,ca2,Andrew Molera State Park,State Parks,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,California State Parks,136,42,1c5bd043-88f9-447e-8d92-087310905e1e,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,41.5351612552551
936,0,Monterey,montt22,Andrew Molera State Park,mont208,Andrew Molera State Park - Panorama Trail,ca2,Andrew Molera State Park,State Parks,Other Trail,Trail,yes,no,no,no,no,yes,California State Parks,1697,517,a1c04120-46a2-4b45-8f60-366dd0a16929,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,517.200777732928
937,0,Monterey,montt14,Carmel River State Beach,mont145,Carmel River State Beach trails - at end of Calle la Cruz,ca2,Carmel River State Beach,State Parks,Other Trail,Trail,yes,no,no,no,no,yes,California State Parks,860,262,0a63dc63-6a21-432b-91bb-0738aec654df,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,262.258928547811
938,0,Monterey,montt14,Carmel River State Beach,mont149,to Carmel River State Beach,ca2,Carmel River State Beach,State Parks,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,California State Parks,147,45,d4651c66-d7dd-4853-a19b-8bb06c6aba07,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,44.806243696018
939,0,Monterey,montt12,Carmel Beach,mont28,San Antonio Avenue,monts2,City of Carmel-by-the-Sea,City,Secondary CCT,Sidewalk,yes,yes,no,no,yes,yes,City of Carmel,1023,312,ac477b2f-d95c-4937-a370-f0010540a41f,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,311.929989742128
940,0,Monterey,montt12,Carmel Beach,mont27,4th Avenue Trail and Boardwalk,monts2,City of Carmel-by-the-Sea,City,Primary CCT,Trail,yes,no,no,no,no,yes,City of Carmel,1172,357,c6b15b8f-d1a6-408d-a1d5-9b44da267c4f,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,357.188319900182
941,0,Monterey,montt12,Carmel Beach,mont229,stairs to Carmel City Beach,monts2,City of Carmel-by-the-Sea,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,City of Carmel,150,46,42db93c2-7450-43dd-89e2-d57582e0b277,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,45.6076330326196
942,0,Monterey,montt72,Moss Landing State Beach,mont722,Moss Landing State Beach,ca2,Moss Landing State Beach,State Parks,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,yes,California State Parks,5948,1813,9cc6570d-6ec8-4c07-9cae-91a99367bc2b,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1813.00369690958
943,0,Monterey,montt22,Andrew Molera State Park,mont203,Andrew Molera State Park - Panorama Trail,ca2,Andrew Molera State Park,State Parks,Other Trail,Trail,yes,no,no,no,no,yes,California State Parks,6136,1870,4371275f-a851-4192-ac91-438fe89c888c,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1870.32775211839
944,0,Monterey,montt70,Zmudowski State Beach,mont702,Zmudowski State Beach,ca2,Zmudowski State Beach,State Parks,Primary CCT,Trail,yes,yes,no,no,no,yes,California State Parks,3290,1003,ff492caf-3aa8-46c3-a782-fec32ad0b556,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1002.72859236493
945,0,Monterey,montt70,Zmudowski State Beach,mont703,to Zmudowski State Beach,ca2,Zmudowski State Beach,State Parks,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,California State Parks,669,204,748ef1a6-cd2e-4db2-9f60-0dcf37d7491d,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,204.048884353391
946,0,Monterey,montt27,Potrero Road To Monterey Dunes Way,mont271,Salinas River State Beach trails,ca2,Salinas River State Beach,State Parks,Primary CCT,Trail,yes,no,no,no,no,yes,California State Parks,2719,829,f37cc3d4-0f3e-45e5-95c7-87160edff470,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,828.740351695246
947,0,Monterey,montt06,Monterey Peninsula Recreational Trail,mont65,Monterey Peninsula Recreational Trail,monts1,Monterey County,County,Secondary CCT,Trail,yes,yes,no,no,no,yes,County of Monterey,22797,6949,acdb3231-8ca1-4a2c-b17c-f27a0c59f5cf,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,6948.62008546256
948,0,Monterey,montt01,Potrero Road to Monterey Dunes Way,mont10,Salinas River State Beach trails,ca2,Salinas River State Beach,State Parks,Primary CCT,Trail,yes,no,no,no,no,yes,California State Parks,7239,2206,d539acc1-c708-4e19-8387-6996ace64fb5,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2206.3384139055
949,0,Monterey,montt04,Monterey Road to Sand City,mont626,Salinas River State Beach trails,ca2,Salinas River State Beach,State Parks,Primary CCT,Trail,yes,no,no,no,no,yes,California State Parks,1069,326,b8f29a97-b8a4-4c77-a173-09eb1ccc03d5,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,325.956169733807
950,0,Monterey,montt12,Carmel Beach,mont227,to Carmel Beach,monts2,City of Carmel-by-the-Sea,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,City of Carmel,292,89,6fe3c2fc-4d83-4a8b-93ef-83a5f3d5a751,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,88.925640513774
951,0,Monterey,montt12,Carmel Beach,mont36,stairway to Carmel Beach - near 9th Ave,monts2,City of Carmel-by-the-Sea,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,City of Carmel,338,103,0653f4d5-6216-44a3-a522-726fccb7b492,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,103.143387260974
952,0,Monterey,montt12,Carmel Beach,mont35,stairway to Carmel Beach - near 8th Ave,monts2,City of Carmel-by-the-Sea,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,City of Carmel,284,86,cfb17d7b-6fd7-40fb-beac-6b166bc76e0c,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,86.4599391990372
953,0,Monterey,montt12,Carmel Beach,mont34,stairway to Carmel Beach - near 12th Ave,monts2,City of Carmel-by-the-Sea,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,City of Carmel,226,69,dea25063-9792-4ba8-aa4b-efa2bc485a5c,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,68.8224336550278
954,0,Monterey,montt10,Spanish Bay to Bird Rock Point,mont18,17-Mile Drive - along Monterey Peninsula Country Club Golf Course,monts5,Pebble Beach Company,Private,Primary CCT - Needs Improvement,Road shoulder,yes,yes,no,no,yes,yes,Pebble Beach Company,408,125,3fc0efdd-e101-42c8-b3ea-6d6ddb6c909f,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,124.507706445933
955,0,Monterey,montt10,Spanish Bay to Bird Rock Point,mont17,Spanish Bay to Bird Rock Point,monts5,Pebble Beach Company,Private,Primary CCT,Trail,yes,no,no,no,no,yes,Pebble Beach Company,776,236,56c681e9-9f8f-4100-b942-405bd9d87e32,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,236.384532389379
956,0,Monterey,montt10,Spanish Bay to Bird Rock Point,mont16,17-Mile Drive,monts5,Pebble Beach Company,Private,Primary CCT - Needs Improvement,Road shoulder,yes,yes,no,no,yes,yes,Pebble Beach Company,299,91,4afb6dc0-d666-446a-ba99-bf6488ec2248,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,91.0012102057183
957,0,Monterey,montt10,Spanish Bay to Bird Rock Point,mont24,17-Mile Drive,monts5,Pebble Beach Company,Private,Primary CCT - Needs Improvement,Road shoulder,yes,yes,no,no,yes,yes,Pebble Beach Company,204,62,4e978c13-8001-43e6-ad67-804d52e48af1,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,62.3061486065278
958,0,Monterey,montt10,Spanish Bay to Bird Rock Point,mont23,Spanish Bay to Bird Rock Point,monts5,Pebble Beach Company,Private,Primary CCT,Trail,yes,no,no,no,no,yes,Pebble Beach Company,371,113,066a96a4-1c7f-44c6-ba8e-bfdb764e0f31,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,113.131712919486
959,0,Monterey, , , ,17-Mile Drive,monts5,Pebble Beach Company,Private,Primary CCT - Needs Improvement,Road shoulder,yes,yes,no,no,yes,no,Pebble Beach Company,327,100,7ebed60b-c45d-429c-986c-c2712b653788,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,99.6982874018491
960,0,Monterey, , , ,17-Mile Drive - Bird Rock to Fan Shell Beach,monts5,Pebble Beach Company,Private,Primary CCT - Needs Improvement,Road shoulder,yes,yes,no,no,yes,no,Pebble Beach Company,1235,376,4c98273d-848d-42ab-a81c-8b798a0bcdb9,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,376.483214187719
961,0,Monterey, , , ,blufftop trail at Ghost Trees,monts5,Pebble Beach Company,Private,Primary CCT,Trail,yes,no,no,no,no,no,Pebble Beach Company,354,108,571db5bb-2123-4975-9938-a1e115bfc977,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,107.970374900239
962,0,Monterey, , , ,blufftop trail at Ghost Trees,monts5,Pebble Beach Company,Private,Primary CCT,Trail,yes,no,no,no,no,no,Pebble Beach Company,152,46,0ee904e2-6fdd-4e4f-baaa-b90f6b0014a0,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,46.2841386424442
963,0,Monterey, , , ,blufftop trail at Ghost Trees,monts5,Pebble Beach Company,Private,Primary CCT,Trail,yes,no,no,no,no,no,Pebble Beach Company,308,94,3968ed8e-dc44-4b00-b9b3-450ffe25b8ee,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,93.9088712311156
964,0,Monterey, , , ,Cypress Drive,monts5,Pebble Beach Company,Private,Secondary CCT,Trail,yes,yes,no,no,no,no,Pebble Beach Company,1781,543,24b5cee5-bbc6-49b8-833f-f88b843d891e,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,542.721569679283
965,0,Monterey, , , ,from Salinas River State Beach Parking lot,ca2,Salina River State Beach,State Parks,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,California State Parks,39,12,b590c280-85ec-4511-ad6b-243e1c9deae5,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,11.9957527933591
966,0,Monterey, , , ,stairs/ramp to Stillwater Cove Beach,monts5,Pebble Beach Company,Private,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,Pebble Beach Company,169,51,07191068-9074-457b-b907-9969f788bc49,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,51.4841660856301
967,0,Monterey, , , ,Highway 1,ca3,Caltrans,State,Other Trail,Highway,yes,yes,no,no,yes,no,Caltrans,1049,320,1e42aad5-27f0-44a6-a63e-48a3c50058a0,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,319.82268477673
968,0,Monterey, , , ,Cannery Row,monts4,City of Monterey,City,Primary CCT,Sidewalk,yes,yes,no,no,yes,no,City of Monterey,4073,1241,a5131b1e-2a36-4fa1-ac51-f2445bfb71af,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,1241.48121851687
969,0,Monterey, , , ,Monterey Plaza Hotel Viewpoint,Private,Monterey Plaza Hotel Viewpoint,Private,Primary CCT,Viewpoint,yes,no,no,yes,no,no,Private,160,49,e1b22bbc-da2a-400d-a966-28c9f84f50c7,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,48.7729918799755
970,0,Monterey, , , ,McAbee Beach,monts4,City of Monterey,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Monterey,134,41,5a04480e-7ca5-4480-8b90-4e5cfa2060a3,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,40.8032950234914
971,0,Monterey, , , ,McAbee Beach - Steinbeck Plaza,monts4,City of Monterey,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Monterey,195,60,0cc33bf7-5f4a-4d91-a306-5e97b8028c5b,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,59.5081377004597
972,0,Monterey, , , ,Monterey Bay Aquarium Viewpoint,Private,Monterey Bay Aquarium,Private,Primary CCT,Viewpoint,yes,no,no,yes,no,no,Private,301,92,c9d3bccc-7d60-433e-b557-38446977b03a,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,91.8345210206303
973,0,Monterey, , , ,Bird Rock Point to Fan Shell Beach,monts5,Pebble Beach Company,Private,Primary CCT,Trail,yes,no,no,no,no,no,Pebble Beach Company,1269,387,f1adec2a-ad67-41c8-a741-61ce91ae3b48,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,386.677777989663
974,0,Monterey, , , ,17-Mile Drive,monts5,Pebble Beach Company,Private,Primary CCT - Needs Improvement,Road shoulder,yes,yes,no,no,yes,no,Pebble Beach Company,181,55,8ad77bc5-4e7d-44c0-8a6c-9b496bfb78ec,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,55.2948547168888
975,0,Monterey, , , ,17-Mile Drive - along Fan Shell Beach,monts5,Pebble Beach Company,Private,Primary CCT - Needs Improvement,Road shoulder,yes,yes,no,no,yes,no,Pebble Beach Company,2479,755,1cbb90bd-575a-4df7-85c2-2dce18bc8064,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,755.449107959853
976,0,Monterey,montt70,Zmudowski State Beach,mont704,Zmudowski State Beach Trailhead,ca2,Zmudowski State Beach,State Parks,Primary CCT,Trail,yes,no,no,no,no,yes,California State Parks,214,65,90fed2ad-f3de-40aa-a49b-a67391e49fd1,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,65.2139456501999
977,0,Monterey,montt72,Moss Landing Beach,mont725,Moss Landing Beach,monts1,Monterey County,County,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,yes,County of Monterey,2626,800,c1fac646-1bf3-4f22-ae30-a9cc7af13623,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,800.266015936486
978,0,Monterey,montt03,Fort Ord Beach Access,mont48,Fort Ord Dunes State Park - to Monterey State Beach,ca2,Fort Ord Dunes State Park,State Parks,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,California State Parks,195,59,b6a7c4a3-2e97-4c7a-9e01-fa36805d4914,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,59.303093413563
979,0,Monterey, , , ,stairs to Fanshell Beach,monts5,Pebble Beach Company,Private,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,Pebble Beach Company,194,59,94ecba47-be86-4518-8f79-a92d554e163e,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,59.0922367406205
980,0,Monterey, , , ,Fanshell Beach,monts5,Pebble Beach Company,Private,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,no,Pebble Beach Company,1479,451,7f35b223-b9d4-4eaf-a764-e3d591049c3e,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,450.911897363409
981,0,Monterey,montt19,Soberanes Point Trails,mont45,Soberanes Point trails,ca2,Garrapata State Park,State Parks,Other Trail,Trail,yes,no,no,no,no,yes,California State Parks,335,102,baae5466-537b-4d75-93de-08f77e110e69,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,102.078047341249
982,0,Monterey, , , ,to Marina State Beach,ca2,Marina State Beach,State Parks,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,California State Parks,154,47,af8528ec-a702-4155-864e-37092a6199d0,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,46.9054308280879
983,0,Monterey, , , ,Dunes Road,monts9,City of Marina,City,Secondary CCT,Sidewalk,yes,yes,no,no,yes,no,City of Marina,3219,981,035d291c-2415-4e91-9188-e80a21ff089c,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,981.223620560369
984,0,Monterey, , , ,to North Marina Beach at N end of Dunes Road,monts7,Monterey Peninsula Regional Parks District,Special District,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,Monterey Peninsula Regional Park District,2324,708,3ce61323-1483-421f-b75c-829a9d9226df,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,708.317535465843
985,0,Monterey, , , ,to North Marina Beach from Dunes Road,monts7,Monterey Peninsula Regional Parks District,Special District,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,Monterey Peninsula Regional Park District,1930,588,5d7ffa91-cb5a-4f7e-8b1e-1301ec155b77,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,588.244760063346
986,0,Monterey, , , ,to North Marina Beach from Sanctuary Beach Resort,Private,Sanctuary Beach Resort,Private,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,Private,447,136,99c7d495-7e8a-44b3-a132-8a565941cb43,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,136.384710056738
987,0,Monterey, , , ,to beach,monts10,City of Sand City,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Sand City,122,37,8c45b5d5-d4b3-4e17-9d6c-487c06351f94,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,37.0975997515811
988,0,Monterey, , , ,Del Monte Beach Boardwalk,monts4,City of Monterey,City,Primary CCT,Trail,yes,no,no,no,no,no,City of Monterey,2567,782,69a3f900-e4f8-455d-9d24-8c41e8af9715,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,782.49809278501
989,0,Monterey, , , ,stairway to Del Monte Beach,monts4,City of Monterey,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Monterey,309,94,86f1fb30-6b5b-4d49-b3ea-e17a152227ec,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,94.0519887164445
990,0,Monterey, , , ,steps to Del Monte Beach,monts4,City of Monterey,City,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,no,City of Monterey,321,98,6dad8bdf-19e7-47bc-8a1c-c14e6bdeab39,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,97.8069164630178
991,0,Monterey, , , ,Del Monte Beach Boardwalk,monts4,City of Monterey,City,Primary CCT,Trail,yes,no,no,no,no,no,City of Monterey,283,86,d011372d-07ad-410f-8208-857db9f4ab17,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,86.382452860662
992,0,Monterey, , , ,Del Monte Beach Boardwalk,monts4,City of Monterey,City,Primary CCT,Trail,yes,no,no,no,no,no,City of Monterey,144,44,06ce9e7b-b901-47e4-b227-c828090950ad,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,44.0421758148466
993,0,Monterey,montt27,Protrero Road to Monterey Dunes Way,mont272,to Salinas River State Beach,ca2,Salinas River State Beach,State Parks,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,California State Parks,97,30,17c61c51-e89a-4718-bae2-f31471321231,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,29.5237842661782
994,0,Monterey,montt10,Spanish Bay to Bird Rock Point,mont15,Seal Rock Creek Beach,monts5,Pebble Beach Company,Private,Beach or Shoreline Route CCT,Beach,yes,no,no,no,no,yes,Pebble Beach Company,609,186,e96a3e5d-41a4-4941-befd-9e258171bee6,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,185.604435196078
995,0,Monterey,montt10,Spanish Bay to Bird Rock Point,mont14,to Seal Rock Creek Beach,monts5,Pebble Beach Company,Private,Beach or Shoreline Access CCT,beach access,yes,no,no,no,no,yes,Pebble Beach Company,252,77,bb160efa-e6d1-43be-b4a6-5901da10853e,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,76.9490193485164
996,0,Humboldt, , , ,Eureka Slough Boat Ramp,hums7,City of Eureka,City,Beach or Shoreline Access CCT,boat ramp,yes,no,no,no,no,no,City of Eureka,59,18,f80c8a55-4316-4706-9c1f-243e9394056a,2021/01/04 00:00:00+00,eessoudry_coastalcomm,2021/01/04 00:00:00+00,eessoudry_coastalcomm,17.8681338740602
